author_id,book,count
commodianus,Prov,2
commodianus,Gen,1
commodianus,Dan,1
commodianus,Rev,1
commodianus,Mark,1
commodianus,2Cor,1
felix,1Tim,1
felix,Jer,1
felix,1Cor,1
origen,Ps,146
origen,Matt,123
origen,1Cor,109
origen,John,89
origen,Rom,80
origen,Isa,71
origen,Gen,57
origen,2Cor,38
origen,Luke,38
origen,Exod,38
origen,Deut,37
origen,Ezek,28
origen,Heb,24
origen,Acts,21
origen,Prov,20
origen,Gal,20
origen,Eph,19
origen,Jer,19
origen,Col,18
origen,Wis,17
origen,Job,15
origen,Phil,14
origen,2Tim,14
origen,Dan,13
origen,1Tim,10
origen,Lev,10
origen,1John,9
origen,1Pet,9
origen,1Kgs,9
origen,Eccl,8
origen,Sir,8
origen,Mic,7
origen,2Thess,7
origen,Rev,6
origen,1Thess,6
origen,Lam,5
origen,Titus,5
origen,Mark,5
origen,Tob,5
origen,Hos,4
origen,Mal,4
origen,1Sam,4
origen,Zech,4
origen,2Kgs,4
origen,1Chr,3
origen,Num,3
origen,2Sam,2
origen,Song,2
origen,Amos,2
origen,Sus,2
origen,Hag,2
origen,Hab,1
origen,Jas,1
origen,2Macc,1
origen,Joel,1
origen,Jude,1
origen,Judg,1
origen,Zeph,1
tertullian,1Cor,149
tertullian,Matt,135
tertullian,Gen,68
tertullian,Rom,45
tertullian,Luke,38
tertullian,Ps,36
tertullian,Eph,36
tertullian,John,36
tertullian,Acts,32
tertullian,2Cor,24
tertullian,Gal,24
tertullian,1Tim,24
tertullian,Isa,24
tertullian,Heb,22
tertullian,Exod,21
tertullian,1John,20
tertullian,Rev,18
tertullian,Lev,15
tertullian,Phil,15
tertullian,1Sam,10
tertullian,Deut,10
tertullian,1Kgs,10
tertullian,Jer,9
tertullian,Mark,8
tertullian,Num,8
tertullian,1Thess,7
tertullian,1Pet,7
tertullian,Job,7
tertullian,Dan,7
tertullian,2Tim,5
tertullian,2Pet,5
tertullian,Ezek,5
tertullian,Col,4
tertullian,Jude,3
tertullian,Eccl,3
tertullian,Hos,3
tertullian,Jonah,3
tertullian,2Thess,3
tertullian,Prov,3
tertullian,Jas,3
tertullian,Zech,3
tertullian,2Kgs,3
tertullian,2Sam,2
tertullian,Judg,2
tertullian,Song,1
tertullian,Hab,1
tertullian,Hag,1
tertullian,Titus,1
tertullian,Amos,1
tertullian,Bel,1
tertullian,Josh,1
tertullian,Joel,1
tertullian,2Chr,1
