book,count
Matt,915
Luke,757
Isa,740
Ps,624
1Cor,601
John,487
Rom,381
Gen,365
Exod,229
Prov,219
Acts,199
Eph,191
Deut,183
Gal,183
2Cor,171
Jer,159
Rev,133
1Pet,116
1Tim,106
1John,97
Heb,94
Phil,87
Col,86
Mark,80
Dan,79
Ezek,72
Num,70
Sir,58
2Tim,55
Zech,52
Lev,51
1Thess,46
Jas,44
1Sam,42
1Kgs,37
Job,37
Hos,34
2Thess,33
Titus,32
Wis,32
2Kgs,29
Mal,28
Jude,27
Amos,26
2Sam,20
Joel,19
Hab,16
Judg,16
2Pet,14
Josh,14
Jonah,12
Mic,12
Eccl,9
Lam,7
Bar,7
Tob,6
2Chr,5
2John,5
Song,4
Hag,4
Jdt,3
Sus,3
2Esd,3
Nah,3
3John,2
Esth,2
Phlm,2
Zeph,2
2Macc,2
1Macc,2
1Chr,1
Neh,1
Bel,1
