book,count
Matt,207
Ps,143
Luke,97
Isa,93
John,80
Prov,66
Acts,64
Exod,64
Gen,60
Deut,56
1Cor,51
Jer,40
Num,33
Mark,29
Rom,28
Eph,27
Dan,27
Heb,27
Ezek,26
Rev,24
1Tim,24
1Pet,24
Lev,23
Zech,20
1Kgs,17
Col,17
2Cor,16
Mal,15
Sir,14
1Sam,14
2Kgs,12
Josh,12
Gal,11
2Tim,11
2Thess,11
Phil,10
2Chr,10
Eccl,9
Hos,9
Job,9
2Sam,7
Jas,7
1John,5
1Chr,5
1Thess,4
Neh,4
Wis,4
Tob,4
Jonah,4
Bar,3
Amos,3
Titus,3
Jdt,3
Mic,2
Ezra,2
1Macc,2
2Pet,2
Nah,2
Sus,2
Judg,2
Joel,2
Phlm,2
1Kings,1
Hag,1
Lam,1
Esth,1
Song,1
Hab,1
