author_id,unique_books_total,unique_books_non_deut,unique_books_deut,quoted_deuterocanonical
alexander_alexandria,19,18,1,yes
alexander_capp,2,2,0,no
alexander_lyc,2,2,0,no
anatolius,5,4,1,yes
anonymous,69,60,9,yes
archelaus,31,30,1,yes
aristides,4,4,0,no
arnobius,16,16,0,no
asterius,19,18,1,yes
athenagoras,15,15,0,no
caius,3,3,0,no
clement_alex,63,57,6,yes
clement_rome,52,48,4,yes
commodianus,6,6,0,no
cyprian,65,59,6,yes
dionysius,36,33,3,yes
felix,3,3,0,no
gregory_thau,30,29,1,yes
hermas,43,40,3,yes
hippolytus,54,49,5,yes
ignatius,54,51,3,yes
irenaeus,56,52,4,yes
juliusafricanus,6,6,0,no
justin_martyr,40,40,0,no
lactantius,54,51,3,yes
malchion,3,2,1,yes
mathetes,14,14,0,no
methodius,48,45,3,yes
novatian,42,41,1,yes
origen,63,57,6,yes
peter_alexandria,31,29,2,yes
phileas,4,4,0,no
pierus,2,2,0,no
polycarp,22,21,1,yes
rutherford_an,2,2,0,no
schaff,5,4,1,yes
tatian,14,14,0,no
tertullian,66,58,8,yes
theodotus,13,12,1,yes
theognostus,4,4,0,no
theonas,10,10,0,no
theophilus,27,27,0,no
venantius,2,2,0,no
victorinus,26,26,0,no
