psalm,count
45,73
22,63
19,61
2,56
18,50
51,45
50,44
110,38
1,36
34,36
24,34
118,31
4,31
72,29
8,29
82,29
33,27
78,24
68,23
37,22
89,20
69,19
49,18
96,18
3,17
48,17
119,16
12,16
32,16
36,15
39,15
5,15
104,14
116,14
16,14
9,14
102,13
44,13
10,12
148,12
6,12
62,12
7,10
90,10
27,9
31,9
41,9
97,9
11,8
133,8
30,8
38,8
74,8
86,8
13,7
20,7
23,7
28,7
29,7
35,7
70,7
73,7
84,7
91,7
95,7
103,6
132,6
139,6
15,6
25,6
26,6
42,6
46,6
109,5
115,5
141,5
58,5
67,5
76,5
107,4
130,4
131,4
136,4
137,4
14,4
147,4
17,4
40,4
59,4
77,4
81,4
85,4
88,4
98,4
106,3
111,3
135,3
47,3
55,3
63,3
64,3
87,3
92,3
94,3
99,3
108,2
113,2
117,2
124,2
126,2
127,2
146,2
150,2
21,2
43,2
54,2
65,2
71,2
80,2
93,2
101,1
105,1
112,1
114,1
120,1
121,1
125,1
128,1
140,1
142,1
143,1
144,1
149,1
53,1
56,1
57,1
61,1
79,1
83,1
