author_id,work_id,book,testament_group,osis_ref,passage
clement_rome,first_epistle_to_the_corinthians,3John,new_testament,Bible:3John.1.9,3 John 9
clement_rome,first_epistle_to_the_corinthians,1Pet,new_testament,Bible:1Pet.5.1-1Pet.5.5,1 Pet. v. 1–5
clement_rome,first_epistle_to_the_corinthians,Phil,new_testament,Bible:Phil.4.3,Phil. iv. 3
clement_rome,first_epistle_to_the_corinthians,Eph,new_testament,Bible:Eph.5.21,Eph. v. 21
clement_rome,first_epistle_to_the_corinthians,1Pet,new_testament,Bible:1Pet.5.5,1 Pet. v. 5
clement_rome,first_epistle_to_the_corinthians,Acts,new_testament,Bible:Acts.20.35,Acts xx. 35
clement_rome,first_epistle_to_the_corinthians,1Pet,new_testament,Bible:1Pet.2.17,1 Pet. ii. 17
clement_rome,first_epistle_to_the_corinthians,Titus,new_testament,Bible:Titus.3.1,Tit. iii. 1
clement_rome,first_epistle_to_the_corinthians,Prov,old_testament_or_other,Bible:Prov.7.3,Prov. vii. 3
clement_rome,first_epistle_to_the_corinthians,Deut,old_testament_or_other,Bible:Deut.32.15,Deut. xxxii. 15
clement_rome,first_epistle_to_the_corinthians,2Cor,new_testament,Bible:2Cor.1.21,2 Cor. i. 21
clement_rome,first_epistle_to_the_corinthians,Eph,new_testament,Bible:Eph.4.20,Eph. iv. 20
clement_rome,first_epistle_to_the_corinthians,Wis,deuterocanonical,Bible:Wis.2.24,Wisdom ii. 24
clement_rome,first_epistle_to_the_corinthians,Gen,old_testament_or_other,Bible:Gen.4.3-Gen.4.8,Gen. iv. 3–8
clement_rome,first_epistle_to_the_corinthians,Gen,old_testament_or_other,Bible:Gen.27.41,Gen. xxvii. 41
clement_rome,first_epistle_to_the_corinthians,Gen,old_testament_or_other,Bible:Gen.37,Gen. xxxvii.
clement_rome,first_epistle_to_the_corinthians,Exod,old_testament_or_other,Bible:Exod.2.14,Ex. ii. 14
clement_rome,first_epistle_to_the_corinthians,Num,old_testament_or_other,Bible:Num.12.14-Num.12.15,"Num. xii. 14, 15"
clement_rome,first_epistle_to_the_corinthians,Num,old_testament_or_other,Bible:Num.16.33,Num. xvi. 33
clement_rome,first_epistle_to_the_corinthians,1Kgs,old_testament_or_other,Bible:1Kgs.18.8,1 Kings xviii. 8
clement_rome,first_epistle_to_the_corinthians,Gen,old_testament_or_other,Bible:Gen.2.23,Gen. ii. 23
clement_rome,first_epistle_to_the_corinthians,Gen,old_testament_or_other,Bible:Gen.7,Gen. vii.
clement_rome,first_epistle_to_the_corinthians,1Pet,new_testament,Bible:1Pet.3.20,1 Pet. iii. 20
clement_rome,first_epistle_to_the_corinthians,2Pet,new_testament,Bible:2Pet.2.5,2 Pet. ii. 5
clement_rome,first_epistle_to_the_corinthians,Jonah,old_testament_or_other,Bible:Jonah.3,Jon. iii.
clement_rome,first_epistle_to_the_corinthians,Ezek,old_testament_or_other,Bible:Ezek.33.11,Ezek. xxxiii. 11
clement_rome,first_epistle_to_the_corinthians,Ezek,old_testament_or_other,Bible:Ezek.18.30,Ezek. xviii. 30
clement_rome,first_epistle_to_the_corinthians,Isa,old_testament_or_other,Bible:Isa.1.18,Isa. i. 18
clement_rome,first_epistle_to_the_corinthians,Isa,old_testament_or_other,Bible:Isa.1.16-Isa.1.20,Isa. i. 16–20
clement_rome,first_epistle_to_the_corinthians,Gen,old_testament_or_other,Bible:Gen.5.24,Gen. v. 24
clement_rome,first_epistle_to_the_corinthians,Heb,new_testament,Bible:Heb.11.5,Heb. xi. 5
clement_rome,first_epistle_to_the_corinthians,Isa,old_testament_or_other,Bible:Isa.41.8,Isa. xli. 8
clement_rome,first_epistle_to_the_corinthians,2Chr,old_testament_or_other,Bible:2Chr.20.7,2 Chron. xx. 7
clement_rome,first_epistle_to_the_corinthians,Jdt,deuterocanonical,Bible:Jdt.8.19,Judith viii. 19
clement_rome,first_epistle_to_the_corinthians,Jas,new_testament,Bible:Jas.2.23,Jas. ii. 23
clement_rome,first_epistle_to_the_corinthians,Gen,old_testament_or_other,Bible:Gen.12.1-Gen.12.3,Gen. xii. 1–3
clement_rome,first_epistle_to_the_corinthians,Gen,old_testament_or_other,Bible:Gen.13.14-Gen.13.16,Gen. xiii. 14–16
clement_rome,first_epistle_to_the_corinthians,Gen,old_testament_or_other,Bible:Gen.15.5-Gen.15.6,"Gen. xv. 5, 6"
clement_rome,first_epistle_to_the_corinthians,Rom,new_testament,Bible:Rom.4.3,Rom. iv. 3
clement_rome,first_epistle_to_the_corinthians,Gen,old_testament_or_other,Bible:Gen.21.22,Gen. xxi. 22
clement_rome,first_epistle_to_the_corinthians,Heb,new_testament,Bible:Heb.11.17,Heb. xi. 17
clement_rome,first_epistle_to_the_corinthians,Gen,old_testament_or_other,Bible:Gen.19,Gen. xix.
clement_rome,first_epistle_to_the_corinthians,2Pet,new_testament,Bible:2Pet.2.6-2Pet.2.9,2 Pet. ii. 6–9
clement_rome,first_epistle_to_the_corinthians,Josh,old_testament_or_other,Bible:Josh.2,Josh. ii.
clement_rome,first_epistle_to_the_corinthians,Heb,new_testament,Bible:Heb.11.31,Heb. xi. 31
clement_rome,first_epistle_to_the_corinthians,Jer,old_testament_or_other,Bible:Jer.9.23-Jer.9.24,"Jer. ix. 23, 24"
clement_rome,first_epistle_to_the_corinthians,1Cor,new_testament,Bible:1Cor.1.31,1 Cor. i. 31
clement_rome,first_epistle_to_the_corinthians,2Cor,new_testament,Bible:2Cor.10.17,2 Cor. x. 17
clement_rome,first_epistle_to_the_corinthians,Matt,new_testament,Bible:Matt.6.12-Matt.6.15,Matt. vi. 12–15
clement_rome,first_epistle_to_the_corinthians,Matt,new_testament,Bible:Matt.7.2,Matt. vii. 2
clement_rome,first_epistle_to_the_corinthians,Luke,new_testament,Bible:Luke.6.36-Luke.6.38,Luke vi. 36–38
clement_rome,first_epistle_to_the_corinthians,Isa,old_testament_or_other,Bible:Isa.66.2,Isa. lxvi. 2
clement_rome,first_epistle_to_the_corinthians,Prov,old_testament_or_other,Bible:Prov.2.21-Prov.2.22,"Prov. ii. 21, 22"
clement_rome,first_epistle_to_the_corinthians,Ps,old_testament_or_other,Bible:Ps.37.35-Ps.37.37,Ps. xxxvii. 35–37
clement_rome,first_epistle_to_the_corinthians,Isa,old_testament_or_other,Bible:Isa.29.13,Isa. xxix. 13
clement_rome,first_epistle_to_the_corinthians,Matt,new_testament,Bible:Matt.15.8,Matt. xv. 8
clement_rome,first_epistle_to_the_corinthians,Mark,new_testament,Bible:Mark.7.6,Mark vii. 6
clement_rome,first_epistle_to_the_corinthians,Ps,old_testament_or_other,Bible:Ps.62.4,Ps. lxii. 4
clement_rome,first_epistle_to_the_corinthians,Ps,old_testament_or_other,Bible:Ps.78.36-Ps.78.37,"Ps. lxxviii. 36, 37"
clement_rome,first_epistle_to_the_corinthians,Ps,old_testament_or_other,Bible:Ps.31.18,Ps. xxxi. 18
clement_rome,first_epistle_to_the_corinthians,Ps,old_testament_or_other,Bible:Ps.12.3-Ps.12.5,Ps. xii. 3–5
clement_rome,first_epistle_to_the_corinthians,Isa,old_testament_or_other,Bible:Isa.53,Isa. liii.
