author_id,work_id,book,testament_group,osis_ref,passage
tertullian,pallium,Gen,old_testament_or_other,Bible:Gen.11.26-Gen.12.5 Bible:Acts.7.2-Acts.7.4 Bible:Acts.7.15 Bible:Acts.7.45 Bible:Acts.13.17-Acts.13.19,"Gen. xi. 26–xii. 5 with Acts vii.
2–4, 15, 45, and xiii. 17–19"
tertullian,pallium,Gen,old_testament_or_other,Bible:Gen.2.25 Bible:Gen.3.7 Bible:Gen.3.21-Gen.3.24,"Gen.
ii. 25 (in LXX. iii. 1), iii. 7, 21–24"
tertullian,pallium,Gen,old_testament_or_other,Bible:Gen.2.23,Gen. ii. 23
tertullian,pallium,1Cor,new_testament,Bible:1Cor.2.6-1Cor.2.7,"1 Cor. ii. 6,
7"
tertullian,women_apparel,Heb,new_testament,Bible:Heb.8.11 Bible:Jer.31.34,Heb. viii. 11; Jer. xxxi. 34
tertullian,women_apparel,Gen,old_testament_or_other,Bible:Gen.3.16,Gen. iii. 16
tertullian,women_apparel,Song,old_testament_or_other,Bible:Song.4.12,Cant. iv. 12
tertullian,women_apparel,Gen,old_testament_or_other,Bible:Gen.3.21,Gen. iii. 21
tertullian,women_apparel,Acts,new_testament,Bible:Acts.19.19,Acts xix. 19
tertullian,women_apparel,Rev,new_testament,Bible:Rev.2.5,Rev. ii. 5
tertullian,women_apparel,1Cor,new_testament,Bible:1Cor.6.3,1 Cor. vi. 3
tertullian,women_apparel,2Cor,new_testament,Bible:2Cor.6.14-2Cor.6.16,2 Cor. vi. 14–16
tertullian,women_apparel,Matt,new_testament,Bible:Matt.22.30 Bible:Mark.12.25 Bible:Luke.20.35-Luke.20.36,"Matt. xxii. 30; Mark xii. 25; Luke xx. 35,
36"
tertullian,women_apparel,Gal,new_testament,Bible:Gal.3.28,Gal. iii. 28
tertullian,women_apparel,Gen,old_testament_or_other,Bible:Gen.5.21 Bible:Gen.5.25 Bible:Gen.5.28 Bible:Gen.5.29,"Gen. v. 21, 25, 28, 29"
tertullian,women_apparel,Gen,old_testament_or_other,Bible:Gen.6.8,Gen. vi. 8
tertullian,women_apparel,2Tim,new_testament,Bible:2Tim.3.16,2 Tim. iii. 16
tertullian,women_apparel,Jude,new_testament,Bible:Jude.1.14 Bible:Jude.1.15,"Jude 14, 15"
